Region,Continent_Name
antigua and barbuda,north america
bosnia and herzegovina,europe
british virgin islands,north america
burkina faso,africa
cabo verde,africa
cayman islands,north america
central african republic,africa
costa rica,north america
cote d'ivoire,africa
czechia,europe
dominican republic,north america
drc,africa
el salvador,north america
equatorial guinea,africa
eswatini,africa
french guiana,south america
french polynesia,europe
guinea-bissau,africa
isle of man,europe
kosovo,europe
kyrgyzstan,asia
libya,africa
new zealand,australia
north macedonia,europe
northern mariana islands,north america
other,other
palestine,asia
papua new guinea,australia
puerto rico,north america
russia,asia
saint lucia,north america
saint martin,north america
san marino,europe
são tomé and príncipe,africa
saudi arabia,asia
"	sierra leone",africa
sint maarten,north america
south africa,africa
south korea,asia
south sudan,africa
sri lanka,asia
syria,asia
trinidad and tobago,south america
turks and caicos,north america
uae,asia
uk,europe
us virgin islands,north america
usa,north america
